ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,UPC,Product Type,Application,Display Type,Backlight Technology Type,Diagonal Viewable Screen Size (in.),Screen Area (sq. in.),Native Horizontal Resolution (pixels),Native Vertical Resolution (pixels),Resolution Format,High Contrast Ratio (HCR) Display,Physical Data Ports Available,Ethernet Supported,Low Power Wireless Technologies Supported,Features,Automatic Brightness Control,Is Automatic Brightness Control Enabled by Default in the Default SDR Preset Picture Setting When Television is Shipped?,Average On Mode Power Consumption for Certification (watts),Maximum Average On Mode Power for Certification (watts),Reported On Mode Power (per the Federal Test Procedure) (watts),Reported Annual Energy Consumption (kWh),Power Consumption in Standby Mode when Not Connected to a Network (watts),Power Consumption in Standby Mode when Connected to a Network (watts),"Reported Standby-Active, Low Mode Power (watts)",Date Available On Market,Date Certified,Markets,CB Model Identifier
2399940,"ELITELUX TECHNOLOGIES,INC./GLOBAL Q. INTERNATIONAL LIMITED",Sansui,LE-32T1,LE-32T1,",EC32T1H,; ,EC32T1HA,; ,EC32T1HN,; ,EC32T2H,; ,EC32T2H,; ,EC32T2HA,; ,EC32T2HN,; ,EC32T3H,; ,EC32T3H,; ,EC32T3HA,; ,EC32T3HN,; ,EC32V1HA,; ,EC32V1HN,; ,EC32V2HA,; ,EC32V2HN,; ,EC32V3HA,; ,EC32V3HN,; ,ES32T1H,; ,ES32T1HA,; ,ES32T1HN,; ,ES32T2H,; ,ES32T2HA,; ,ES32T2HN,; ,ES32T3H,; ,ES32T3HA,; ,ES32T3HN,; ,ES32V1HA,; ,ES32V1HN,; ,ES32V2HA,; ,ES32V2HN,; ,ES32V3HA,; ,ES32V3HN,; ,LE-32***,; ,LE-32V1,; ,LE/32T1,; ,NT-3206,; ,SC-3216STV,; ,SL3221VN,; ,SL32XXXX,; ,TL3202H,",,Television (TV),Consumer,LCD,Direct-lit LED,31.5,421.69,768,1366,Other,No,Universal Serial Bus (USB),None,None,None,No,N/A,28.4,63.28,28.4,54,0.31,0.31,0.31,10/14/2022,07/29/2022,"United States, Canada",ES_25251_LE-32T1_08012022115139_122644
2508240,"ELITELUX TECHNOLOGIES,INC./GLOBAL Q. INTERNATIONAL LIMITED",Sansui,LE-43VA1,LE-43VA1,",*****43*********,; ,C43TAUG,; ,C43VAUG,; ,E400GD43G-G, RTGU4370,; ,LE-43TA1,; ,LE-43TA2,; ,LE-43TA3,; ,LE-43TA4,; ,LE-43TA5,; ,LE-43VA2,; ,LE-43VA3,; ,LE-43VA4,; ,LE-43VA5,; ,PG43***,; ,PG43SKA,; ,PG43SMA,; ,PTGU43**,; ,RTA43****,; ,RTA4302,; ,RTA4302-B,; ,RTAU43****,; ,RTAU4350,; ,RTAU4350-B,; ,S43TAUG,; ,S43VAUG,; ,SC-****GTV .,; ,SC-4350GTV,; ,WG43UX4210,",,Television (TV),Consumer,LCD,Direct-lit LED,42.5,774.72,3840,2160,Other,No,"Universal Serial Bus (USB),HDMI",None,None,None,No,N/A,53.32,85.86,53.32,99.24,0.27,0.28,0,06/09/2023,06/12/2023,"United States, Canada",ES_25251_LE-43VA1_06092023152622_9290277
2508411,"ELITELUX TECHNOLOGIES,INC./GLOBAL Q. INTERNATIONAL LIMITED",Sansui,LE-55V4,LE-55V4,",*****55*********,; ,C55TAUG,; ,C55VAUG,; ,E400GD55G-G,; ,LE-55TA1,; ,LE-55TA2,; ,LE-55TA3,; ,LE-55TA4,; ,LE-55TA5,; ,LE-55VA1,; ,LE-55VA2,; ,LE-55VA3,; ,LE-55VA4,; ,LE-55VA5,; ,PG55***,; ,PG55SKA,; ,S55TAUG,; ,S55VAUG,; ,SC-****GTV,; ,SC-5550GTV,; ,WG55UX4212,",,Television (TV),Consumer,LCD,Direct-lit LED,55,1292.46,3840,2160,Other,No,"Universal Serial Bus (USB),HDMI",None,None,None,No,N/A,72.52,116.75,72.52,134.85,0.31,0.36,0.36,05/31/2023,06/16/2023,"United States, Canada",ES_25251_LE-55V4_06082023150442_73358
2452884,"ELITELUX TECHNOLOGIES,INC./GLOBAL Q. INTERNATIONAL LIMITED",Sansui,LE-65V1,LE-65V1,",*****65*********,; ,C65TAUG,; ,C65VAUG,; ,LE-65TA1,; ,LE-65TA2,; ,LE-65TA3,; ,LE-65TA4,; ,LE-65V4,; ,LE-65VA1,; ,LE-65VA2,; ,LE-65VA3,; ,LE-65VA4,; ,LE-65VA5,; ,S65TAUG,; ,S65VAUG,",,Television (TV),Consumer,LCD,Direct-lit LED,64.4,1773.32,3840,2160,Other,No,"Universal Serial Bus (USB),HDMI",None,None,None,No,N/A,127.87,148.79,127.87,235.44,0.39,0,0,03/07/2023,03/17/2023,"United States, Canada",ES_25251_LE-65V1_03252023095508_7908441
2472801,"ELITELUX TECHNOLOGIES,INC./GLOBAL Q. INTERNATIONAL LIMITED",Sansui,LE-75VA1,LE-75VA1,",*****75*********,; ,C75TAUG,; ,C75VAUG,; ,S75TAUG,; ,S75VAUG,",,Television (TV),Consumer,LCD,Direct-lit LED,74.37,2368.25,3840,2160,4K (UHD),No,"Universal Serial Bus (USB),HDMI",None,None,None,No,N/A,148.56,185.86,148.56,273.48,0.34,0.34,0,04/28/2023,05/05/2023,"United States, Canada",ES_25251_LE-75VA1_05042023194525_157586
2406200,"ELITELUX TECHNOLOGIES,INC./GLOBAL Q. INTERNATIONAL LIMITED",Sansui,LED TV,S55V1UA,"LED TV,EC55V1UA,; LED TV,EC55V1UV,; LED TV,EC55V2UA,; LED TV,EC55V2UV,; LED TV,EC55V3UA,; LED TV,EC55V3UV,; LED TV,ES55V1UA,; LED TV,ES55V1UV,; LED TV,ES55V2UA,; LED TV,ES55V2UV,; LED TV,ES55V3UA,; LED TV,ES55V3UV,; LED TV,LE-55T1,; LED TV,LE-55V1,; LED TV,LT-55EC3512,; LED TV,LT-55EC3513,; LED TV,SMX55V1UA,",,Television (TV),Consumer,LCD,Direct-lit LED,55,1275.67,2160,3840,4K (UHD),No,Other,Fast Ethernet (100 Mbit/s),None,User Adjustable Backlight,No,N/A,72.7,117.43,61,113,0.3,0.31,,09/01/2021,12/15/2022,United States,ES_25251_S55V1UA_12202022084000_6964616
2406582,Impecca,IMPECCA,LED TV,LE-32V1,",LE-32T1,; ,LE-32T2,; ,LE-32T3,; ,LE-32V2,; ,LE-32V3,; ,TL3202H,",,Television (TV),Consumer,LCD,Direct-lit LED,32,424.19,1366,768,Standard Definition (SD),No,Other,None,None,User Adjustable Backlight,No,N/A,29.06,29.33,24,46,0.25,0,0,11/30/2022,01/05/2023,United States,ES_1128884_LE-32V1_01092023102733_3518631
2448998,Impecca,IMPECCA,TL4002NS,TL4002NS,"LE-40***** (* = 0-9, A-Z, blank, symbol),LE-40***** (* = 0-9, A-Z, blank, symbol),; LE-40T1,LE-40T1,; LE-40V1,LE-40V1,",810941028885,Television (TV),Consumer,LCD,Edge-lit LED,39.5,660.6,1920,1080,High Definition (HD),No,"Universal Serial Bus (USB),HDMI",Fast Ethernet (100 Mbit/s),None,None,No,N/A,44.64,58.85,35.68,68,0.25,0.4,0.4,08/20/2022,07/29/2022,United States,ES_1128884_TL4002NS_08012022113332_6270108
2400243,"Naxa Electronics, Inc.",Clear Tunes,CT-1385S,CT-1385S,",CT-1315N,; ,CT-1315S,; ,CT-1390N,; ,NTD-1356A,; ,NTD-1357,; ,NTD-1358,; ,NTD-1359,; ,NTD-1360,; ,NTD-1361,; ,NTD-1362,; ,NTD-1363,; ,NTD-1364,; ,NTD-1365,",744234404837,Television (TV),Consumer,LCD,Edge-lit LED,13.25,75.08,1366,768,Other,No,"Universal Serial Bus (USB),HDMI",None,None,None,No,N/A,10.7,20.76,10.7,22.09,0.37,0,0,10/10/2022,08/17/2022,"United States, Canada",ES_1117334_CT-1385S_08162022113718_448572
2400244,"Naxa Electronics, Inc.",Clear Tunes,CT-1514S,CT-1514S,",CT-1514N,; ,CT-1586N,; ,CT-1590N,; ,CT-1596N,",744234405278,Television (TV),Consumer,LCD,Edge-lit LED,15.55,103.25,1366,768,Other,No,"Universal Serial Bus (USB),HDMI",None,None,None,No,N/A,9.5,23.09,9.5,19.97,0.38,0,0,10/10/2022,08/17/2022,"United States, Canada",ES_1117334_CT-1514S_08162022173330_7338678
2406380,"Samsung Electronics Co., Ltd.",Samsung,QN43QN90CAF,QN43QN90CAF,"QN43QN90CDF,QN43QN90CDF,Same as basic model except model designation",,Television (TV),Consumer,QD-LED (QLED),Direct-lit LED,42.5,771.85,3840,2160,4K (UHD),No,"Universal Serial Bus (USB),Other,RS-232,HDMI",Fast Ethernet (100 Mbit/s),Bluetooth,"Control Via Smart Speaker,Motion-based Dynamic Dimming (MDD) (also known as Motion Eye Care),Automatic Brightness Control",Yes,No,67.38,80.27,55,110.8,0.38,0.42,0.42,12/31/2022,12/28/2022,United States,ES_1023593_QN43QN90CAF_122820220852488_8109999
2406381,"Samsung Electronics Co., Ltd.",Samsung,QN50QN90CAF,QN50QN90CAF,"QN50QN90CDF,QN50QN90CDF,Same as basic model except model designation",,Television (TV),Consumer,QD-LED (QLED),Direct-lit LED,49.5,1047.01,3840,2160,4K (UHD),No,"Universal Serial Bus (USB),Other,RS-232,HDMI",Fast Ethernet (100 Mbit/s),Bluetooth,"Control Via Smart Speaker,Motion-based Dynamic Dimming (MDD) (also known as Motion Eye Care),Automatic Brightness Control",Yes,No,82.13,97.25,67,132.7,0.3,0.4,0.4,12/31/2022,12/28/2022,United States,ES_1023593_QN50QN90CAF_122820221022764_7053135
2406378,"Samsung Electronics Co., Ltd.",Samsung,QN55QN85CAF,QN55QN85CAF,"QN55QN85CDF,QN55QN85CDF,Same as basic model except model designation; QN55QN88CAF,QN55QN88CAF,Same as basic model except model designation",,Television (TV),Consumer,QD-LED (QLED),Direct-lit LED,54.6,1275.67,3840,2160,4K (UHD),No,"Universal Serial Bus (USB),Other,RS-232,HDMI",Fast Ethernet (100 Mbit/s),Bluetooth,"Control Via Smart Speaker,Motion-based Dynamic Dimming (MDD) (also known as Motion Eye Care),Automatic Brightness Control",Yes,No,93.35,117.43,93.35,132.7,0.3,0.36,0.36,12/26/2022,12/28/2022,United States,ES_1023593_QN55QN85CAF_122820220722222_4551209
2406334,"Samsung Electronics Co., Ltd.",Samsung,QN55QN90CAF,QN55QN90CAF,"QN55QN90CDF,QN55QN90CDF,Same as basic model except model designation; QN55QN92CAF,QN55QN92CAF,Same as basic model except model designation",,Television (TV),Consumer,QD-LED (QLED),Direct-lit LED,54.6,1275.67,3840,2160,4K (UHD),No,"Universal Serial Bus (USB),Other,RS-232,HDMI",Fast Ethernet (100 Mbit/s),Bluetooth,"Control Via Smart Speaker,Control Via Remote Control App,Motion-based Dynamic Dimming (MDD) (also known as Motion Eye Care),Automatic Brightness Control",Yes,No,99.05,117.43,99.05,145.5,0.3,0.34,0.34,12/26/2022,12/26/2022,United States,ES_1023593_QN55QN90CAF_12272022065258_3856315
2406405,"Samsung Electronics Co., Ltd.",Samsung,QN55S95CAF,QN55S95CAF,"QN55S95CDF,QN55S95CDF,Same as basic model except model designation",,Television (TV),Consumer,Other,OLED,54.6,1275.67,3840,2160,4K (UHD),Yes,"Universal Serial Bus (USB),Other,RS-232,HDMI",Fast Ethernet (100 Mbit/s),Bluetooth,"Wake-On-Cast Compatibility,Other,Control Via Smart Speaker,Control Via Remote Control App,Full Network Connectivity (Smart TV),Automatic Brightness Control,User Adjustable Backlight",Yes,No,119.83,116.55,100,192.9,0.3,0.4,0.4,02/10/2023,12/29/2022,United States,ES_1023593_QN55S95CAF_123020220352905_3086937
2406379,"Samsung Electronics Co., Ltd.",Samsung,QN65QN85CAF,QN65QN85CAF,"QN65QN85CDF,QN65QN85CDF,Same as basic model except model designation; QN65QN88CAF,QN65QN88CAF,Same as basic model except model designation",,Television (TV),Consumer,QD-LED (QLED),Direct-lit LED,64.5,1779.11,3840,2160,4K (UHD),No,"Universal Serial Bus (USB),Other,RS-232,HDMI",Fast Ethernet (100 Mbit/s),Bluetooth,"Control Via Smart Speaker,Motion-based Dynamic Dimming (MDD) (also known as Motion Eye Care),Automatic Brightness Control",Yes,No,110.86,149.16,110.86,160.1,0.3,0.4,0.3,12/31/2022,12/28/2022,United States,ES_1023593_QN65QN85CAF_122820220822846_3841384
2406517,"Samsung Electronics Co., Ltd.",Samsung,QN65QN90CAF,QN65QN90CAF,"QN65QN90CDF,QN65QN90CDF,Same as basic model except model designation; QN65QN92CAF,QN65QN92CAF,Same as basic model except model designation",,Television (TV),Consumer,QD-LED (QLED),Direct-lit LED,64.5,1779.11,3840,2160,4K (UHD),No,"Universal Serial Bus (USB),Other,RS-232,HDMI",Fast Ethernet (100 Mbit/s),Bluetooth,"Control Via Smart Speaker,Motion-based Dynamic Dimming (MDD) (also known as Motion Eye Care),Automatic Brightness Control",Yes,No,113.6,149.16,83,161.9,0.3,0.4,0.3,12/31/2022,01/05/2023,United States,ES_1023593_QN65QN90CAF_010620230452315_1797267
2406515,"Samsung Electronics Co., Ltd.",Samsung,QN65QN95CAF,QN65QN95CAF,"QN65QN95CDF,QN65QN95CDF,Same as basic model except model designation",,Television (TV),Consumer,QD-LED (QLED),Direct-lit LED,64.5,1779.11,3840,2160,4K (UHD),No,"Universal Serial Bus (USB),Other,RS-232,HDMI",Fast Ethernet (100 Mbit/s),Bluetooth,"Control Via Smart Speaker,Motion-based Dynamic Dimming (MDD) (also known as Motion Eye Care),Automatic Brightness Control",Yes,No,124.43,149.16,89,172.8,0.3,0.4,0.3,12/31/2022,01/05/2023,United States,ES_1023593_QN65QN95CAF_010620230453930_7179399
2406404,"Samsung Electronics Co., Ltd.",Samsung,QN65S95CAF,QN65S95CAF,"QN65S95CDF,QN65S95CDF,Same as basic model except model designation",,Television (TV),Consumer,Other,OLED,64.5,1779.11,3840,2160,4K (UHD),Yes,"Universal Serial Bus (USB),Other,RS-232,HDMI",Fast Ethernet (100 Mbit/s),Bluetooth,"Wake-On-Cast Compatibility,Other,Control Via Smart Speaker,Control Via Remote Control App,Full Network Connectivity (Smart TV),User Adjustable Backlight,Automatic Brightness Control",Yes,No,140.43,149.16,114.98,220.3,0.3,0.4,0.3,12/31/2022,12/29/2022,United States,ES_1023593_QN65S95CAF_122920220453104_5221750
2406518,"Samsung Electronics Co., Ltd.",Samsung,QN75QN85CAF,QN75QN85CAF,"QN75QN85CDF,QN75QN85CDF,Same as basic model except model designation; QN75QN88CAF,QN75QN88CAF,Same as basic model except model designation",,Television (TV),Consumer,QD-LED (QLED),Direct-lit LED,74.5,2381.36,3840,2160,4K (UHD),No,"Universal Serial Bus (USB),Other,RS-232,HDMI",Fast Ethernet (100 Mbit/s),Bluetooth,"Control Via Smart Speaker,Motion-based Dynamic Dimming (MDD) (also known as Motion Eye Care),Automatic Brightness Control",Yes,No,125.26,186.33,89,172.8,0.3,0.4,0.4,12/31/2022,01/05/2023,United States,ES_1023593_QN75QN85CAF_010620230522676_5604731
2406512,"Samsung Electronics Co., Ltd.",Samsung,QN75QN90CAF,QN75QN90CAF,"QN75QN90CDF,QN75QN90CDF,Same as basic model except model designation; QN75QN92CAF,QN75QN92CAF,Same as basic model except model designation",,Television (TV),Consumer,QD-LED (QLED),Direct-lit LED,74.5,2381.36,3840,2160,4K (UHD),No,"Universal Serial Bus (USB),Other,RS-232,HDMI",Fast Ethernet (100 Mbit/s),Bluetooth,"Control Via Smart Speaker,Motion-based Dynamic Dimming (MDD) (also known as Motion Eye Care),Automatic Brightness Control",Yes,No,138.97,187.11,95,183.8,0.3,0.4,0.4,12/31/2022,01/05/2023,United States,ES_1023593_QN75QN90CAF_010620230452209_9554040
2406514,"Samsung Electronics Co., Ltd.",Samsung,QN75QN95CAF,QN75QN95CAF,"QN75QN95CDF,QN75QN95CDF,Same as basic model except model designation",,Television (TV),Consumer,QD-LED (QLED),Direct-lit LED,74.5,2381.36,3840,2160,4K (UHD),No,"Universal Serial Bus (USB),Other,RS-232,HDMI",Fast Ethernet (100 Mbit/s),Bluetooth,"Control Via Smart Speaker,Motion-based Dynamic Dimming (MDD) (also known as Motion Eye Care),Automatic Brightness Control",Yes,No,154.24,187.11,107,205.7,0.3,0.4,0.4,12/31/2022,01/05/2023,United States,ES_1023593_QN75QN95CAF_010620230453335_6589912
2406520,"Samsung Electronics Co., Ltd.",Samsung,QN77S95CAF,QN77S95CAF,"QN77S95CDF,QN77S95CDF,Same as basic model except model designation",,Television (TV),Consumer,Other,OLED,77.5,2572.42,3840,2160,4K (UHD),Yes,"Universal Serial Bus (USB),Other,RS-232,HDMI",Fast Ethernet (100 Mbit/s),Bluetooth,"Wake-On-Cast Compatibility,Control Via Smart Speaker,Control Via Remote Control App,Full Network Connectivity (Smart TV),Automatic Brightness Control,User Adjustable Backlight",Yes,No,188.28,193.89,157,296.9,0.3,0.4,0.4,12/31/2022,01/05/2023,United States,ES_1023593_QN77S95CAF_010620230522462_4744116
2406513,"Samsung Electronics Co., Ltd.",Samsung,QN85QN85CAF,QN85QN85CAF,"QN85QN85CDF,QN85QN85CDF,Same as basic model except model designation; QN85QN88CAF,QN85QN88CAF,Same as basic model except model designation",,Television (TV),Consumer,QD-LED (QLED),Direct-lit LED,84.5,3055.39,3840,2160,4K (UHD),No,"Universal Serial Bus (USB),Other,RS-232,HDMI",Fast Ethernet (100 Mbit/s),Bluetooth,"Control Via Smart Speaker,Motion-based Dynamic Dimming (MDD) (also known as Motion Eye Care),Automatic Brightness Control",Yes,No,140.98,229.59,100,192.9,0.3,0.4,0.4,12/31/2022,01/05/2023,United States,ES_1023593_QN85QN85CAF_010620230453600_1310926
2406516,"Samsung Electronics Co., Ltd.",Samsung,QN85QN90CAF,QN85QN90CAF,"QN85QN90CDF,QN85QN90CDF,Same as basic model except model designation; QN85QN92CAF,QN85QN92CAF,Same as basic model except model designation",,Television (TV),Consumer,QD-LED (QLED),Direct-lit LED,84.5,3055.39,3840,2160,4K (UHD),No,"Universal Serial Bus (USB),Other,RS-232,HDMI",Fast Ethernet (100 Mbit/s),Bluetooth,"Control Via Smart Speaker,Motion-based Dynamic Dimming (MDD) (also known as Motion Eye Care),Automatic Brightness Control",Yes,No,183.64,229.59,118,225.8,0.3,0.4,0.4,12/31/2022,01/05/2023,United States,ES_1023593_QN85QN90CAF_010620230453845_4232681
2406519,"Samsung Electronics Co., Ltd.",Samsung,QN85QN95CAF,QN85QN95CAF,"QN85QN95CDF,QN85QN95CDF,Same as basic model except model designation",,Television (TV),Consumer,QD-LED (QLED),Direct-lit LED,84.5,3055.39,3840,2160,4K (UHD),No,"Universal Serial Bus (USB),Other,RS-232,HDMI",Fast Ethernet (100 Mbit/s),Bluetooth,"Control Via Smart Speaker,Motion-based Dynamic Dimming (MDD) (also known as Motion Eye Care),Automatic Brightness Control",Yes,No,206.61,229.59,119,227.6,0.3,0.4,0.4,12/31/2022,01/05/2023,United States,ES_1023593_QN85QN95CAF_010620230522385_4554436
2408975,"SHENZHEN QIYUE OPTRONICS CO., LTD",Accuview,FTV400-ZT,FTV400-ZT,",********40********,; ,D395A228-F-A,",,Television (TV),Consumer,LCD,Direct-lit LED,39.3,655.09,1920,1080,Other,No,"Universal Serial Bus (USB),HDMI",None,None,None,No,N/A,45.32,77.61,45.32,85.41,0.39,0,0,01/15/2023,02/27/2023,"United States, Canada",ES_1148915_FTV400-ZT_02162023093516_5341607
