Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Annual_Energy_Use__Kilowatt_Hours_Year__d,Water_Consumption__Gallons_Cycle__d,Capacity__Number_of_Place_Settings__d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s
Whirlpool,Standard size dishwasher,WDP340PAF**-03,WDP370PAH**,307.0,5.0,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Whirlpool,Standard size dishwasher,WDP350PAA**-01,WDP350PAA**,295.0,3.4,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDP560HAM**,WDP560HAM**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDP560HAM**,WDT530HAM**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDT540HAM**,WDT540HAM**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Kenmore,Standard size dishwasher,1474*N***-02,1479*N***,270.0,3.5,12.0,No,No,https://www.kenmore.com/energyguide/
Whirlpool,Standard size dishwasher,WDT710PAH**-01,WDT710PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDT730PAH**-08,WDT730PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Whirlpool,Standard size dishwasher,WDT730PAH**-09,WDT730PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Whirlpool,Standard size dishwasher,WDT730PAH**-10,WDT730PAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Whirlpool,Standard size dishwasher,WDT751SAP**,WDT751SAP**,240.0,3.2,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDT970SAH**-02,WDT970SAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Kenmore,Standard size dishwasher,1482*N***-01,1476*N***,270.0,3.5,12.0,No,No,https://www.kenmore.com/energyguide/
Kenmore,Standard size dishwasher,1482*N***-01,1481*N***,270.0,3.5,12.0,No,No,https://www.kenmore.com/energyguide/
Kenmore,Standard size dishwasher,1482*N***-02,1476*N***,270.0,3.5,12.0,No,No,https://www.kenmore.com/energyguide/
Amana,Standard size dishwasher,ADB1100AW**-02,ADB1100AW**,270.0,3.1,12.0,No,No,https://www.amana.com/kitchen/dishwashers.html
KitchenAid,Standard size dishwasher,KDTM804K***-02,KDPM804K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
KitchenAid,Standard size dishwasher,KDTM804K***-02,KDTM704LPA*,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
KitchenAid,Standard size dishwasher,KDTM804K***-03,KDTM604K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
KitchenAid,Standard size dishwasher,KDTM804K***-03,KDTM704K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
Whirlpool,Standard size dishwasher,WDT970SAH**-02,WDTA50SAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDT970SAH**-03,WDT750SAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
KitchenAid,Standard size dishwasher,KDTM804K***-03,KDTM804K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
KitchenAid,Standard size dishwasher,KDTM804K***-03,KDPM804K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
Amana,Standard size dishwasher,ADB1300AF**-06,ADB1300AF**,270.0,3.5,12.0,No,No,https://www.amana.com/kitchen/dishwashers.html
Whirlpool,Standard size dishwasher,WDT970SAH**-03,WDTA50SAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
KitchenAid,Standard size dishwasher,KDTM804K***-03,KDTM704LPA*,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
Amana,Standard size dishwasher,ADB1300AF**-06,ADB1400AG**,270.0,3.5,12.0,No,No,https://www.amana.com/kitchen/dishwashers.html
KitchenAid,Standard size dishwasher,KDTM804K***-04,KDTM604K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
Amana,Standard size dishwasher,ADB1300AF**-07,ADB1300AF**,270.0,3.5,12.0,No,No,https://www.amana.com/kitchen/dishwashers.html
Whirlpool,Standard size dishwasher,WDT970SAH**-04,WDTA50SAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
KitchenAid,Standard size dishwasher,KDTM804K***-04,KDTM704K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
Whirlpool,Standard size dishwasher,WDT970SAH**-05,WDT970SAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
KitchenAid,Standard size dishwasher,KDTM804K***-04,KDTM804K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
KitchenAid,Standard size dishwasher,KDTM804K***-04,KDTM704LPA*,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
Amana,Standard size dishwasher,ADB1300AF**-07,ADB1400AG**,270.0,3.5,12.0,No,No,https://www.amana.com/kitchen/dishwashers.html
Whirlpool,Standard size dishwasher,WDT970SAH**-06,WDT750SAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Maytag,Standard size dishwasher,MDB4950SP**,MDB4950SP**,240.0,3.2,12.0,No,No,https://www.maytag.com/owners.html
Whirlpool,Standard size dishwasher,WDT970SAH**-06,WDT970SAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Maytag,Standard size dishwasher,MDB7959SK**,MDB4949SK**,270.0,3.5,12.0,No,No,https://www.maytag.com/owners.html
Whirlpool,Standard size dishwasher,WDT970SAH**-07,WDTA50SAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Amana,Standard size dishwasher,ADB1300AF**-09,ADB1300AF**,270.0,3.5,12.0,No,No,https://www.amana.com/kitchen/dishwashers.html
Kenmore,Standard size dishwasher,1482*N***-02,1481*N***,270.0,3.5,12.0,No,No,https://www.kenmore.com/energyguide/
Amana,Standard size dishwasher,ADB1300AF**-09,ADB1400AG**,270.0,3.5,12.0,No,No,https://www.amana.com/kitchen/dishwashers.html
Whirlpool,Standard size dishwasher,WDT970SAH**-07,WDT970SAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Whirlpool,Standard size dishwasher,WDT970SAH**-08,WDT970SAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Whirlpool,Standard size dishwasher,WDT970SAK**,WDT970SAK**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Whirlpool,Standard size dishwasher,WDT970SAK**-01,WDT970SAK**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Whirlpool,Standard size dishwasher,WDT970SAK**-02,WDT970SAK**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Whirlpool,Standard size dishwasher,WDT970SAK**-02,WDPA70SAM**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Kenmore,Standard size dishwasher,1715*K***-03,1715*K***,295.0,3.4,12.0,No,No,https://www.kenmore.com/energyguide/
Whirlpool,Standard size dishwasher,WDT995SAF**,WDT995SAF**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Amana,Standard size dishwasher,ADB1300AF**-10,ADB1300AF**,270.0,3.5,12.0,No,No,https://www.amana.com/kitchen/dishwashers.html
Amana,Standard size dishwasher,ADB1300AF**-10,ADB1400AG**,270.0,3.5,12.0,No,No,https://www.amana.com/kitchen/dishwashers.html
Whirlpool,Standard size dishwasher,WDTA50SAK**,WDTA50SAK**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Amana,Standard size dishwasher,ADB1300AF**-12,ADB1300AF**,270.0,3.5,12.0,No,No,https://www.amana.com/kitchen/dishwashers.html
Whirlpool,Standard size dishwasher,WDTA50SAK**-01,WDTA50SAK**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Amana,Standard size dishwasher,ADB1300AF**-12,ADB1400AG**,270.0,3.5,12.0,No,No,https://www.amana.com/kitchen/dishwashers.html
Maytag,Standard size dishwasher,MDB7959SK**-01,MDB7959SK**,270.0,3.5,12.0,No,No,https://www.maytag.com/owners.html
KitchenAid,Standard size dishwasher,JDB9000CW**-06,KDTE204E***,270.0,3.3,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
KitchenAid,Standard size dishwasher,JDB9000CW**-07,KDFE204E***,270.0,3.3,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
Whirlpool,Standard size dishwasher,WDTA50SAK**-02,WDT750SAK**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Maytag,Standard size dishwasher,MDB7959SK**-02,MDB4949SK**,270.0,3.5,12.0,No,No,https://www.maytag.com/owners.html
Maytag,Standard size dishwasher,MDB7959SK**-02,MDB7959SK**,270.0,3.5,12.0,No,No,https://www.maytag.com/owners.html
Whirlpool,Standard size dishwasher,WDTA50SAK**-03,WDT750SAK**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
KitchenAid,Standard size dishwasher,JDB9000CW**-08,KDTE254E***,270.0,3.3,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
Whirlpool,Standard size dishwasher,WDTA50SAK**-04,WDTA50SAK**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
KitchenAid,Standard size dishwasher,KDFE104D***-07,KDTE104D***,260.0,2.9,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
Whirlpool,Standard size dishwasher,WDTA50SAK**-04,WDT740SAL**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Amana,Standard size dishwasher,ADB1500AD**-04,ADB1500AD**,270.0,3.0,12.0,No,No,https://www.amana.com/kitchen/dishwashers.html
Whirlpool,Standard size dishwasher,WDTA50SAK**-05,WDTA50SAK**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
KitchenAid,Standard size dishwasher,KDFE104D***-08,KDTE104D***,260.0,2.9,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
Whirlpool,Standard size dishwasher,WDTA50SAK**-05,WDT750SAK**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
KitchenAid,Standard size dishwasher,KDFE104H***,KDFE104H***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
Whirlpool,Standard size dishwasher,WDTA50SAK**-05,WDT740SAL**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
KitchenAid,Standard size dishwasher,KDFE104H***-01,KDFE104H***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
KitchenAid,Standard size dishwasher,KDFE104H***-02,KDFE104H***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
Whirlpool,Standard size dishwasher,WDTA75SAH**,WDT975SAH**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
KitchenAid,Standard size dishwasher,KDFE104K***,KDFE104K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
KitchenAid,Standard size dishwasher,KDFE104K***-01,KDFE104K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
Whirlpool,Standard size dishwasher,WDTA80SAK**,WDTA80SAK**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Amana,Standard size dishwasher,ADB1300AF**-13,ADB1400AG**,270.0,3.5,12.0,No,No,https://www.amana.com/kitchen/dishwashers.html
KitchenAid,Standard size dishwasher,KDFE104K***-02,KDFE104K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
Amana,Standard size dishwasher,ADB1400AM**,ADB1400AM**,270.0,3.5,12.0,No,No,https://www.amana.com/kitchen/dishwashers.html
KitchenAid,Standard size dishwasher,KDFE105P***,KDFE105P***,240.0,3.2,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
Amana,Standard size dishwasher,ADB1500AD**-02,ADB1500AD**,270.0,3.0,12.0,No,No,https://www.amana.com/kitchen/dishwashers.html
KitchenAid,Standard size dishwasher,KDFE204K***,KDFE204K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
KitchenAid,Standard size dishwasher,KDFE204K***,KDTE204K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
KitchenAid,Standard size dishwasher,KDFE204K***-01,KDFE204K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
KitchenAid,Standard size dishwasher,KDFE204K***-01,KDTE204K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
Maytag,Standard size dishwasher,MDB7959SK**-03,MDB4949SK**,270.0,3.5,12.0,No,No,https://www.maytag.com/owners.html
KitchenAid,Standard size dishwasher,KDFE204K***-02,KDTE204K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
Maytag,Standard size dishwasher,MDB7959SK**-03,MDB7959SK**,270.0,3.5,12.0,No,No,https://www.maytag.com/owners.html
Maytag,Standard size dishwasher,MDB7959SK**-04,MDB4949SK**,270.0,3.5,12.0,No,No,https://www.maytag.com/owners.html
Maytag,Standard size dishwasher,MDB8959SK**,MDB8959SK**,270.0,3.5,12.0,No,No,https://www.maytag.com/owners.html
KitchenAid,Standard size dishwasher,KDFE204K***-04,KDFE204K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
Maytag,Standard size dishwasher,MDB8959SK**-01,MDB8959SK**,270.0,3.5,12.0,No,No,https://www.maytag.com/owners.html
Maytag,Standard size dishwasher,MDB8959SK**-02,MDB8959SK**,270.0,3.5,12.0,No,No,https://www.maytag.com/owners.html
Maytag,Standard size dishwasher,MDB8959SK**-03,MDB8959SK**,270.0,3.5,12.0,No,No,https://www.maytag.com/owners.html
Maytag,Standard size dishwasher,MDB8969SD**-06,MDB7949SD**,270.0,3.3,12.0,No,No,https://www.maytag.com/owners.html
Maytag,Standard size dishwasher,MDB8969SD**-06,MDB8969SD**,270.0,3.3,12.0,No,No,https://www.maytag.com/owners.html
Maytag,Standard size dishwasher,MDB8969SD**-07,MDB4949SD**,270.0,3.3,12.0,No,No,https://www.maytag.com/owners.html
Maytag,Standard size dishwasher,MDB8969SD**-07,MDB8969SD**,270.0,3.3,12.0,No,No,https://www.maytag.com/owners.html
Maytag,Standard size dishwasher,MDB8969SD**-08,MDB4949SD**,270.0,3.3,12.0,No,No,https://www.maytag.com/owners.html
Maytag,Standard size dishwasher,MDB8969SD**-08,MDB5969SD**,270.0,3.3,12.0,No,No,https://www.maytag.com/owners.html
Maytag,Standard size dishwasher,MDB8969SD**-08,MDB7949SD**,270.0,3.3,12.0,No,No,https://www.maytag.com/owners.html
Maytag,Standard size dishwasher,MDB8969SD**-08,MDB8969SD**,270.0,3.3,12.0,No,No,https://www.maytag.com/owners.html
Maytag,Standard size dishwasher,MDB8979SE**-03,MDB8959SF**,270.0,3.5,12.0,No,No,https://www.maytag.com/owners.html
Maytag,Standard size dishwasher,MDB8979SE**-03,MDB8979SE**,270.0,3.5,12.0,No,No,https://www.maytag.com/owners.html
Maytag,Standard size dishwasher,MDB8979SE**-03,MDB8979SF**,270.0,3.5,12.0,No,No,https://www.maytag.com/owners.html
Maytag,Standard size dishwasher,MDB8979SE**-04,MDB8979SF**,270.0,3.5,12.0,No,No,https://www.maytag.com/owners.html
Maytag,Standard size dishwasher,MDB8989SH**,MDB4949SH**,270.0,3.5,12.0,No,No,https://www.maytag.com/owners.html
Maytag,Standard size dishwasher,MDB8989SH**,MDB7959SH**,270.0,3.5,12.0,No,No,https://www.maytag.com/owners.html
KitchenAid,Standard size dishwasher,KDTE304G***-02,KDTE234G***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
KitchenAid,Standard size dishwasher,KDTE304G***-02,KDTE304G***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
KitchenAid,Standard size dishwasher,KDTE304G***-03,KDPE204G***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
KitchenAid,Standard size dishwasher,KDTE304G***-03,KDPE234G***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
Amana,Standard size dishwasher,ADB1500AD**-06,ADB1500AD**,270.0,3.0,12.0,No,No,https://www.amana.com/kitchen/dishwashers.html
Ikea,Standard size dishwasher,IDF320PAF**,IDF330PAG**,270.0,3.5,12.0,No,No,https://www.ikea.com/us/en/cat/dishwashers-20825/
Ikea,Standard size dishwasher,IDT930SAG**,IDT870SAG**,270.0,3.5,12.0,No,No,https://www.ikea.com/us/en/cat/dishwashers-20825/
Ikea,Standard size dishwasher,IUD7555D**-01,IDT830SAG**,260.0,3.0,12.0,No,No,https://www.ikea.com/us/en/cat/dishwashers-20825/
Ikea,Standard size dishwasher,IUD7555D**-02,IUD7555D**,260.0,3.0,12.0,No,No,https://www.ikea.com/us/en/cat/dishwashers-20825/
Ikea,Standard size dishwasher,WDF520PAD**-07,IUD7070D**,260.0,3.3,12.0,No,No,https://www.ikea.com/us/en/cat/dishwashers-20825/
Ikea,Standard size dishwasher,WDF520PAD**-08,IUD7070D**,260.0,3.3,12.0,No,No,https://www.ikea.com/us/en/cat/dishwashers-20825/
Ikea,Standard size dishwasher,WDF520PAD**-13,IUD7070D**,260.0,3.3,12.0,No,No,https://www.ikea.com/us/en/cat/dishwashers-20825/
KitchenAid,Standard size dishwasher,KDTE304G***-03,KDTE234G***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
Ikea,Standard size dishwasher,WDF520PAD**-14,IUD7070D**,260.0,3.3,12.0,No,No,https://www.ikea.com/us/en/cat/dishwashers-20825/
KitchenAid,Standard size dishwasher,KDTE304G***-03,KDTE304G***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
Ikea,Standard size dishwasher,WDF520PAD**-15,IUD7070D**,260.0,3.3,12.0,No,No,https://www.ikea.com/us/en/cat/dishwashers-20825/
KitchenAid,Standard size dishwasher,KDTE304G***-04,KDPE204G***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
Ikea,Standard size dishwasher,WDF520PAD**-16,IUD7070D**,260.0,3.3,12.0,No,No,https://www.ikea.com/us/en/cat/dishwashers-20825/
Jenn-Air,Standard size dishwasher,JDB8500AW**-01,JDB8500AW**,260.0,2.9,12.0,No,No,https://www.jennair.com/content/jennair/en_us/dishwashers-and-compactors.html
Jenn-Air,Standard size dishwasher,JDB9000CW**-07,JDB9000CW**,270.0,3.3,12.0,No,No,https://www.jennair.com/content/jennair/en_us/dishwashers-and-compactors.html
KitchenAid,Standard size dishwasher,KDTE304G***-04,KDPE234G***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
KitchenAid,Standard size dishwasher,KDTE304G***-05,KDPE204G***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
JennAir,Standard size dishwasher,JDPSS244L**,JDPSG244L**,270.0,3.5,12.0,No,No,https://www.jennair.com/content/jennair/en_us/dishwashers-and-compactors.html
JennAir,Standard size dishwasher,JDPSS246L**,JDPSS245L**,270.0,3.5,12.0,No,No,https://www.jennair.com/content/jennair/en_us/dishwashers-and-compactors.html
KitchenAid,Standard size dishwasher,KDTE304G***-05,KDPE234G***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
KitchenAid,Standard size dishwasher,KDTE304G***-05,KDTE234G***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
KitchenAid,Standard size dishwasher,KDTE304G***-05,KDTE304G***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
KitchenAid,Standard size dishwasher,KDTE304G***-06,KDTE204G***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
Maytag,Standard size dishwasher,MDB8989SH**-01,MDB4949SH**,270.0,3.5,12.0,No,No,https://www.maytag.com/owners.html
KitchenAid,Standard size dishwasher,KDTE304G***-06,KDPE204G***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
KitchenAid,Standard size dishwasher,KDTE304G***-06,KDTE304G***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html
Maytag,Standard size dishwasher,MDB8989SH**-01,MDB7959SH**,270.0,3.5,12.0,No,No,https://www.maytag.com/owners.html
Maytag,Standard size dishwasher,MDB8989SH**-01,MDB7979SH**,270.0,3.5,12.0,No,No,https://www.maytag.com/owners.html
Jenn-Air,Standard size dishwasher,JDTSS246G**,JDTSS245G**,270.0,3.5,12.0,No,No,https://www.jennair.com/content/jennair/en_us/dishwashers-and-compactors.html
Jenn-Air,Standard size dishwasher,JDTSS246G**,JDTSS246G**,270.0,3.5,12.0,No,No,https://www.jennair.com/content/jennair/en_us/dishwashers-and-compactors.html
Jenn-Air,Standard size dishwasher,JDTSS246G**,JDTSS247H**,270.0,3.5,12.0,No,No,https://www.jennair.com/content/jennair/en_us/dishwashers-and-compactors.html
Jenn-Air,Standard size dishwasher,JDTSS246G**-01,JDTSS243G**,270.0,3.5,12.0,No,No,https://www.jennair.com/content/jennair/en_us/dishwashers-and-compactors.html
Jenn-Air,Standard size dishwasher,JDTSS246G**-01,JDTSS244G**,270.0,3.5,12.0,No,No,https://www.jennair.com/content/jennair/en_us/dishwashers-and-compactors.html
Jenn-Air,Standard size dishwasher,JDTSS246G**-01,JDTSS245G**,270.0,3.5,12.0,No,No,https://www.jennair.com/content/jennair/en_us/dishwashers-and-compactors.html
KitchenAid,Standard size dishwasher,KDTE304G***-07,KDTE204G***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
Jenn-Air,Standard size dishwasher,JDTSS246G**-01,JDTSS246G**,270.0,3.5,12.0,No,No,https://www.jennair.com/content/jennair/en_us/dishwashers-and-compactors.html
Jenn-Air,Standard size dishwasher,JDTSS246G**-01,JDTSS247H**,270.0,3.5,12.0,No,No,https://www.jennair.com/content/jennair/en_us/dishwashers-and-compactors.html
Jenn-Air,Standard size dishwasher,JDTSS246G**-02,JDTSS243G**,270.0,3.5,12.0,No,No,https://www.jennair.com/content/jennair/en_us/dishwashers-and-compactors.html
Jenn-Air,Standard size dishwasher,JDTSS246G**-02,JDTSS246G**,270.0,3.5,12.0,No,No,https://www.jennair.com/content/jennair/en_us/dishwashers-and-compactors.html
Jenn-Air,Standard size dishwasher,JDTSS246G**-02,JDTSS247H**,270.0,3.5,12.0,No,No,https://www.jennair.com/content/jennair/en_us/dishwashers-and-compactors.html
Kenmore,Standard size dishwasher,1276*K***-01,1277*K***,260.0,2.9,12.0,No,No,https://www.kenmore.com/energyguide/
KitchenAid,Standard size dishwasher,KDTE304G***-07,KDTE234G***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
Kenmore,Standard size dishwasher,1300*N***-04,1300*N***,270.0,3.5,12.0,No,No,https://www.kenmore.com/energyguide/
KitchenAid,Standard size dishwasher,KDTE304G***-07,KDPE234G***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
Kenmore,Standard size dishwasher,1300*N***-04,1380*N***,270.0,3.5,12.0,No,No,https://www.kenmore.com/energyguide/
Kenmore,Standard size dishwasher,1300*N***-04,1442*N***,270.0,3.5,12.0,No,No,https://www.kenmore.com/energyguide/
Kenmore,Standard size dishwasher,1300*N***-04,1738*N***,270.0,3.5,12.0,No,No,https://www.kenmore.com/energyguide/
Kenmore,Standard size dishwasher,1300*N***-05,1442*N***,270.0,3.5,12.0,No,No,https://www.kenmore.com/energyguide/
Kenmore,Standard size dishwasher,1300*N***-05,1738*N***,270.0,3.5,12.0,No,No,https://www.kenmore.com/energyguide/
Kenmore,Standard size dishwasher,1300*N***-06,1380*N***,270.0,3.5,12.0,No,No,https://www.kenmore.com/energyguide/
Kenmore,Standard size dishwasher,1300*N***-06,1442*N***,270.0,3.5,12.0,No,No,https://www.kenmore.com/energyguide/
Kenmore,Standard size dishwasher,1300*N***-06,1738*N***,270.0,3.5,12.0,No,No,https://www.kenmore.com/energyguide/
Kenmore,Standard size dishwasher,1300*N***-07,1300*N***,270.0,3.5,12.0,No,No,https://www.kenmore.com/energyguide/
Kenmore,Standard size dishwasher,1300*N***-07,1380*N***,270.0,3.5,12.0,No,No,https://www.kenmore.com/energyguide/
Kenmore,Standard size dishwasher,1309*N***-04,1241*N***,260.0,2.7,12.0,No,No,https://www.kenmore.com/energyguide/
Kenmore,Standard size dishwasher,1309*N***-04,1309*N***,260.0,2.7,12.0,No,No,https://www.kenmore.com/energyguide/
Kenmore,Standard size dishwasher,1309*N***-04,1320*N***,260.0,2.7,12.0,No,No,https://www.kenmore.com/energyguide/
Kenmore,Standard size dishwasher,1309*N***-04,1347*N***,260.0,2.7,12.0,No,No,https://www.kenmore.com/energyguide/
Kenmore,Standard size dishwasher,1309*N***-04,1349*N***,260.0,2.7,12.0,No,No,https://www.kenmore.com/energyguide/
Kenmore,Standard size dishwasher,1309*N***-05,1241*N***,260.0,2.7,12.0,No,No,https://www.kenmore.com/energyguide/
Frigidaire,Standard size dishwasher,FDPC4221****,FDPC4221****`,270.0,4.3,12.0,No,No,https://www.frigidaire.com/Kitchen-Appliances/Dishwashers/Dishwasher/
LG,Standard size dishwasher,LDTS555**,LDTS555**,238.0,2.9,15.0,No,No,https://www.lg.com/us/dishwashers
LG,Standard size dishwasher,LDFN454**,LDB454***,238.0,2.9,15.0,No,No,https://www.lg.com/us/dishwashers
LG SIGNATURE,Standard size dishwasher,LUDP890***,LUDP890***,238.0,2.9,15.0,No,No,https://www.lg.com/us/dishwashers
LG,Standard size dishwasher,LDTH779**,LDTH797**,238.0,2.9,15.0,No,No,https://www.lg.com/us/dishwashers
LG,Standard size dishwasher,LDFC242**,LDFC242**,238.0,2.9,15.0,No,No,https://www.lg.com/us/dishwashers
LG,Standard size dishwasher,SDWD24**,SDWD24**,238.0,2.9,14.0,No,No,https://www.lg.com/us/dishwashers
LG,Standard size dishwasher,SDWB24**,SDWB24**,238.0,2.9,15.0,No,No,https://www.lg.com/us/dishwashers
